dataset,algorithm,k,d,trial,step,instantaneous_loss,cumulative_loss,n_leaves,elapsed_s
MNIST,FTRL,10,50,0,80,0.057039,26.382922,1,0.013
MNIST,FTRL,10,50,0,81,0.382933,26.765856,1,0.014
MNIST,FTRL,10,50,0,82,0.258885,27.024741,1,0.014
MNIST,FTRL,10,50,0,83,0.276990,27.301730,1,0.014
MNIST,FTRL,10,50,0,84,0.264389,27.566120,1,0.014
MNIST,FTRL,10,50,0,85,0.316513,27.882633,1,0.014
MNIST,FTRL,10,50,0,86,0.108463,27.991096,1,0.015
MNIST,FTRL,10,50,0,87,0.304957,28.296053,1,0.015
MNIST,FTRL,10,50,0,88,0.241950,28.538003,1,0.015
MNIST,FTRL,10,50,0,89,0.369841,28.907844,1,0.015
MNIST,FTRL,10,50,0,90,0.355871,29.263714,1,0.015
MNIST,FTRL,10,50,0,91,0.251539,29.515253,1,0.016
MNIST,FTRL,10,50,0,92,0.285525,29.800779,1,0.016
MNIST,FTRL,10,50,0,93,0.283680,30.084459,1,0.016
MNIST,FTRL,10,50,0,94,0.284955,30.369414,1,0.016
MNIST,FTRL,10,50,0,95,0.382980,30.752395,1,0.016
MNIST,FTRL,10,50,0,96,0.301149,31.053543,1,0.016
MNIST,FTRL,10,50,0,97,0.425804,31.479347,1,0.017
MNIST,FTRL,10,50,0,98,0.275267,31.754614,1,0.017
MNIST,FTRL,10,50,0,99,0.374510,32.129124,1,0.017
MNIST,FTRL,10,50,0,100,0.153437,32.282561,1,0.017
MNIST,FTRL,10,50,0,101,0.356018,32.638579,1,0.017
MNIST,FTRL,10,50,0,102,0.131003,32.769582,1,0.017
MNIST,FTRL,10,50,0,103,0.238653,33.008235,1,0.018
MNIST,FTRL,10,50,0,104,0.261172,33.269407,1,0.018
MNIST,FTRL,10,50,0,105,0.392006,33.661413,1,0.018
MNIST,FTRL,10,50,0,106,0.376121,34.037534,1,0.018
MNIST,FTRL,10,50,0,107,0.400332,34.437866,1,0.018
MNIST,FTRL,10,50,0,108,0.110834,34.548700,1,0.018
MNIST,FTRL,10,50,0,109,0.336435,34.885135,1,0.019
MNIST,FTRL,10,50,0,110,0.277572,35.162707,1,0.019
MNIST,FTRL,10,50,0,111,0.117641,35.280348,1,0.019
MNIST,FTRL,10,50,0,112,0.278907,35.559255,1,0.019
MNIST,FTRL,10,50,0,113,0.236833,35.796087,1,0.019
MNIST,FTRL,10,50,0,114,0.285398,36.081486,1,0.019
MNIST,FTRL,10,50,0,115,0.362627,36.444113,1,0.020
MNIST,FTRL,10,50,0,116,0.270667,36.714779,1,0.020
MNIST,FTRL,10,50,0,117,0.231980,36.946760,1,0.020
MNIST,FTRL,10,50,0,118,0.365548,37.312307,1,0.020
MNIST,FTRL,10,50,0,119,0.420458,37.732765,1,0.020
MNIST,FTRL,10,50,0,120,0.226329,37.959095,1,0.020
MNIST,FTRL,10,50,0,121,0.379131,38.338226,1,0.021
MNIST,FTRL,10,50,0,122,0.330998,38.669224,1,0.021
MNIST,FTRL,10,50,0,123,0.165391,38.834615,1,0.021
MNIST,FTRL,10,50,0,124,0.364714,39.199329,1,0.021
MNIST,FTRL,10,50,0,125,0.191936,39.391265,1,0.021
MNIST,FTRL,10,50,0,126,0.318930,39.710196,1,0.021
MNIST,FTRL,10,50,0,127,0.248219,39.958415,1,0.021
MNIST,FTRL,10,50,0,128,0.117911,40.076326,1,0.022
MNIST,FTRL,10,50,0,129,0.183179,40.259505,1,0.022
MNIST,FTRL,10,50,0,130,0.369439,40.628943,1,0.022
MNIST,FTRL,10,50,0,131,0.329676,40.958620,1,0.022
MNIST,FTRL,10,50,0,132,0.410897,41.369517,1,0.022
MNIST,FTRL,10,50,0,133,0.326049,41.695566,1,0.022
MNIST,FTRL,10,50,0,134,0.213974,41.909540,1,0.023
MNIST,FTRL,10,50,0,135,0.320002,42.229542,1,0.023
MNIST,FTRL,10,50,0,136,0.308056,42.537598,1,0.023
MNIST,FTRL,10,50,0,137,0.196750,42.734348,1,0.023
MNIST,FTRL,10,50,0,138,0.220662,42.955010,1,0.023
MNIST,FTRL,10,50,0,139,0.229981,43.184991,1,0.023
MNIST,FTRL,10,50,0,140,0.280266,43.465258,1,0.023
MNIST,FTRL,10,50,0,141,0.273209,43.738466,1,0.024
MNIST,FTRL,10,50,0,142,0.135227,43.873693,1,0.024
MNIST,FTRL,10,50,0,143,0.316214,44.189908,1,0.024
MNIST,FTRL,10,50,0,144,0.287453,44.477361,1,0.024
MNIST,FTRL,10,50,0,145,0.193880,44.671241,1,0.024
MNIST,FTRL,10,50,0,146,0.203558,44.874799,1,0.024
MNIST,FTRL,10,50,0,147,0.199992,45.074791,1,0.025
MNIST,FTRL,10,50,0,148,0.150732,45.225524,1,0.025
MNIST,FTRL,10,50,0,149,0.380120,45.605644,1,0.025
MNIST,FTRL,10,50,0,150,0.166994,45.772637,1,0.025
MNIST,FTRL,10,50,0,151,0.253947,46.026584,1,0.025
MNIST,FTRL,10,50,0,152,0.285098,46.311682,1,0.025
MNIST,FTRL,10,50,0,153,0.456115,46.767798,1,0.026
MNIST,FTRL,10,50,0,154,0.292933,47.060731,1,0.026
MNIST,FTRL,10,50,0,155,0.207218,47.267949,1,0.026
MNIST,FTRL,10,50,0,156,0.130333,47.398282,1,0.026
MNIST,FTRL,10,50,0,157,0.182609,47.580891,1,0.026
MNIST,FTRL,10,50,0,158,0.429342,48.010233,1,0.026
MNIST,FTRL,10,50,0,159,0.275432,48.285665,1,0.027
MNIST,FTRL,10,50,0,160,0.274117,48.559783,1,0.027
MNIST,FTRL,10,50,0,161,0.205997,48.765780,1,0.027
MNIST,FTRL,10,50,0,162,0.333561,49.099341,1,0.027
MNIST,FTRL,10,50,0,163,0.134470,49.233811,1,0.027
MNIST,FTRL,10,50,0,164,0.233017,49.466828,1,0.027
MNIST,FTRL,10,50,0,165,0.206826,49.673654,1,0.028
MNIST,FTRL,10,50,0,166,0.434297,50.107951,1,0.028
MNIST,FTRL,10,50,0,167,0.199744,50.307695,1,0.028
MNIST,FTRL,10,50,0,168,0.214859,50.522554,1,0.028
MNIST,FTRL,10,50,0,169,0.290408,50.812962,1,0.028
MNIST,FTRL,10,50,0,170,0.309231,51.122193,1,0.029
MNIST,FTRL,10,50,0,171,0.254048,51.376241,1,0.029
MNIST,FTRL,10,50,0,172,0.253049,51.629290,1,0.029
MNIST,FTRL,10,50,0,173,0.320713,51.950003,1,0.029
MNIST,FTRL,10,50,0,174,0.161986,52.111989,1,0.029
MNIST,FTRL,10,50,0,175,0.209176,52.321165,1,0.029
MNIST,FTRL,10,50,0,176,0.164975,52.486140,1,0.030
MNIST,FTRL,10,50,0,177,0.161738,52.647879,1,0.030
MNIST,FTRL,10,50,0,178,0.264273,52.912151,1,0.030
MNIST,FTRL,10,50,0,179,0.209635,53.121786,1,0.030
MNIST,FTRL,10,50,0,180,0.257914,53.379700,1,0.030
MNIST,FTRL,10,50,0,181,0.105162,53.484862,1,0.030
MNIST,FTRL,10,50,0,182,0.284593,53.769456,1,0.030
MNIST,FTRL,10,50,0,183,0.282060,54.051516,1,0.031
MNIST,FTRL,10,50,0,184,0.331139,54.382655,1,0.031
MNIST,FTRL,10,50,0,185,0.131167,54.513822,1,0.031
MNIST,FTRL,10,50,0,186,0.136265,54.650087,1,0.031
MNIST,FTRL,10,50,0,187,0.431289,55.081377,1,0.031
MNIST,FTRL,10,50,0,188,0.304121,55.385498,1,0.031
MNIST,FTRL,10,50,0,189,0.460226,55.845724,1,0.032
MNIST,FTRL,10,50,0,190,0.236841,56.082565,1,0.032
MNIST,FTRL,10,50,0,191,0.155651,56.238216,1,0.032
MNIST,FTRL,10,50,0,192,0.161572,56.399788,1,0.032
MNIST,FTRL,10,50,0,193,0.161959,56.561747,1,0.032
MNIST,FTRL,10,50,0,194,0.219774,56.781521,1,0.032
MNIST,FTRL,10,50,0,195,0.463441,57.244962,1,0.032
MNIST,FTRL,10,50,0,196,0.242902,57.487864,1,0.033
MNIST,FTRL,10,50,0,197,0.454846,57.942710,1,0.033
MNIST,FTRL,10,50,0,198,0.416259,58.358969,1,0.033
MNIST,FTRL,10,50,0,199,0.247560,58.606529,1,0.033
MNIST,FTRL,10,50,0,200,0.363615,58.970145,1,0.033
MNIST,FTRL,10,50,0,201,0.233639,59.203784,1,0.034
