dataset,algorithm,k,d,trial,step,instantaneous_loss,cumulative_loss,n_leaves,elapsed_s
MNIST,OfflineOptimum,10,50,0,0,0.216927,0.216927,1,0.000
MNIST,OfflineOptimum,10,50,0,1,0.402240,0.619167,1,0.000
MNIST,OfflineOptimum,10,50,0,2,0.167806,0.786974,1,0.000
MNIST,OfflineOptimum,10,50,0,3,0.242901,1.029874,1,0.000
MNIST,OfflineOptimum,10,50,0,4,0.225472,1.255347,1,0.000
MNIST,OfflineOptimum,10,50,0,5,0.249496,1.504843,1,0.000
MNIST,OfflineOptimum,10,50,0,6,0.293148,1.797990,1,0.000
MNIST,OfflineOptimum,10,50,0,7,0.175403,1.973393,1,0.000
MNIST,OfflineOptimum,10,50,0,8,0.185664,2.159057,1,0.000
MNIST,OfflineOptimum,10,50,0,9,0.261384,2.420441,1,0.000
MNIST,OfflineOptimum,10,50,0,10,0.363830,2.784271,1,0.000
MNIST,OfflineOptimum,10,50,0,11,0.332435,3.116707,1,0.000
MNIST,OfflineOptimum,10,50,0,12,0.221071,3.337778,1,0.000
MNIST,OfflineOptimum,10,50,0,13,0.414179,3.751956,1,0.000
MNIST,OfflineOptimum,10,50,0,14,0.277666,4.029622,1,0.000
MNIST,OfflineOptimum,10,50,0,15,0.210536,4.240158,1,0.000
MNIST,OfflineOptimum,10,50,0,16,0.480103,4.720261,1,0.000
MNIST,OfflineOptimum,10,50,0,17,0.303376,5.023637,1,0.000
MNIST,OfflineOptimum,10,50,0,18,0.262242,5.285879,1,0.000
MNIST,OfflineOptimum,10,50,0,19,0.276342,5.562220,1,0.000
MNIST,OfflineOptimum,10,50,0,20,0.211963,5.774184,1,0.000
MNIST,OfflineOptimum,10,50,0,21,0.289376,6.063560,1,0.000
MNIST,OfflineOptimum,10,50,0,22,0.174032,6.237592,1,0.000
MNIST,OfflineOptimum,10,50,0,23,0.137770,6.375362,1,0.000
MNIST,OfflineOptimum,10,50,0,24,0.067396,6.442758,1,0.000
MNIST,OfflineOptimum,10,50,0,25,0.174205,6.616963,1,0.000
MNIST,OfflineOptimum,10,50,0,26,0.324810,6.941773,1,0.000
MNIST,OfflineOptimum,10,50,0,27,0.307707,7.249480,1,0.000
MNIST,OfflineOptimum,10,50,0,28,0.214626,7.464106,1,0.000
MNIST,OfflineOptimum,10,50,0,29,0.183052,7.647159,1,0.000
MNIST,OfflineOptimum,10,50,0,30,0.326883,7.974042,1,0.000
MNIST,OfflineOptimum,10,50,0,31,0.094800,8.068842,1,0.000
MNIST,OfflineOptimum,10,50,0,32,0.163349,8.232190,1,0.000
