dataset,algorithm,k,d,trial,step,instantaneous_loss,cumulative_loss,n_leaves,elapsed_s
MNIST,FantopeOGD,10,50,0,0,1.000000,1.000000,1,0.000
MNIST,FantopeOGD,10,50,0,1,1.000000,2.000000,1,0.000
MNIST,FantopeOGD,10,50,0,2,1.000000,3.000000,1,0.000
MNIST,FantopeOGD,10,50,0,3,1.000000,4.000000,1,0.000
MNIST,FantopeOGD,10,50,0,4,1.000000,5.000000,1,0.000
MNIST,FantopeOGD,10,50,0,5,1.000000,6.000000,1,0.000
MNIST,FantopeOGD,10,50,0,6,1.000000,7.000000,1,0.000
MNIST,FantopeOGD,10,50,0,7,1.000000,8.000000,1,0.000
MNIST,FantopeOGD,10,50,0,8,1.000000,9.000000,1,0.000
MNIST,FantopeOGD,10,50,0,9,1.000000,10.000000,1,0.000
MNIST,FantopeOGD,10,50,0,10,1.000000,11.000000,1,0.000
MNIST,FantopeOGD,10,50,0,11,1.000000,12.000000,1,0.000
MNIST,FantopeOGD,10,50,0,12,1.000000,13.000000,1,0.000
MNIST,FantopeOGD,10,50,0,13,1.000000,14.000000,1,0.000
MNIST,FantopeOGD,10,50,0,14,1.000000,15.000000,1,0.000
MNIST,FantopeOGD,10,50,0,15,1.000000,16.000000,1,0.000
MNIST,FantopeOGD,10,50,0,16,1.000000,17.000000,1,0.000
MNIST,FantopeOGD,10,50,0,17,1.000000,18.000000,1,0.000
MNIST,FantopeOGD,10,50,0,18,1.000000,19.000000,1,0.000
MNIST,FantopeOGD,10,50,0,19,1.000000,20.000000,1,0.000
MNIST,FantopeOGD,10,50,0,20,1.000000,21.000000,1,0.000
MNIST,FantopeOGD,10,50,0,21,1.000000,22.000000,1,0.000
MNIST,FantopeOGD,10,50,0,22,1.000000,23.000000,1,0.000
MNIST,FantopeOGD,10,50,0,23,1.000000,24.000000,1,0.000
MNIST,FantopeOGD,10,50,0,24,1.000000,25.000000,1,0.000
MNIST,FantopeOGD,10,50,0,25,1.000000,26.000000,1,0.000
MNIST,FantopeOGD,10,50,0,26,1.000000,27.000000,1,0.000
MNIST,FantopeOGD,10,50,0,27,1.000000,28.000000,1,0.000
MNIST,FantopeOGD,10,50,0,28,1.000000,29.000000,1,0.000
MNIST,FantopeOGD,10,50,0,29,1.000000,30.000000,1,0.006
MNIST,FantopeOGD,10,50,0,30,0.588154,30.588154,1,0.008
MNIST,FantopeOGD,10,50,0,31,0.469934,31.058088,1,0.008
MNIST,FantopeOGD,10,50,0,32,0.494637,31.552725,1,0.008
MNIST,FantopeOGD,10,50,0,33,0.481976,32.034701,1,0.009
MNIST,FantopeOGD,10,50,0,34,0.489584,32.524285,1,0.009
MNIST,FantopeOGD,10,50,0,35,0.449959,32.974243,1,0.009
MNIST,FantopeOGD,10,50,0,36,0.460014,33.434258,1,0.010
MNIST,FantopeOGD,10,50,0,37,0.533399,33.967657,1,0.010
MNIST,FantopeOGD,10,50,0,38,0.422492,34.390149,1,0.010
MNIST,FantopeOGD,10,50,0,39,0.482858,34.873007,1,0.010
MNIST,FantopeOGD,10,50,0,40,0.452770,35.325777,1,0.011
MNIST,FantopeOGD,10,50,0,41,0.472762,35.798539,1,0.011
MNIST,FantopeOGD,10,50,0,42,0.507203,36.305742,1,0.011
MNIST,FantopeOGD,10,50,0,43,0.488514,36.794255,1,0.012
MNIST,FantopeOGD,10,50,0,44,0.433627,37.227883,1,0.012
MNIST,FantopeOGD,10,50,0,45,0.531610,37.759493,1,0.012
MNIST,FantopeOGD,10,50,0,46,0.458633,38.218125,1,0.012
MNIST,FantopeOGD,10,50,0,47,0.415712,38.633838,1,0.013
MNIST,FantopeOGD,10,50,0,48,0.430924,39.064762,1,0.013
MNIST,FantopeOGD,10,50,0,49,0.461985,39.526746,1,0.013
MNIST,FantopeOGD,10,50,0,50,0.444153,39.970899,1,0.014
MNIST,FantopeOGD,10,50,0,51,0.438174,40.409073,1,0.014
MNIST,FantopeOGD,10,50,0,52,0.602203,41.011276,1,0.014
MNIST,FantopeOGD,10,50,0,53,0.431614,41.442890,1,0.015
MNIST,FantopeOGD,10,50,0,54,0.416739,41.859629,1,0.015
MNIST,FantopeOGD,10,50,0,55,0.388637,42.248266,1,0.015
MNIST,FantopeOGD,10,50,0,56,0.398996,42.647262,1,0.016
MNIST,FantopeOGD,10,50,0,57,0.521131,43.168393,1,0.016
MNIST,FantopeOGD,10,50,0,58,0.459614,43.628007,1,0.016
MNIST,FantopeOGD,10,50,0,59,0.400367,44.028374,1,0.017
MNIST,FantopeOGD,10,50,0,60,0.363109,44.391483,1,0.017
MNIST,FantopeOGD,10,50,0,61,0.310682,44.702166,1,0.017
MNIST,FantopeOGD,10,50,0,62,0.377408,45.079574,1,0.018
MNIST,FantopeOGD,10,50,0,63,0.423205,45.502779,1,0.018
MNIST,FantopeOGD,10,50,0,64,0.397955,45.900734,1,0.018
MNIST,FantopeOGD,10,50,0,65,0.354325,46.255059,1,0.019
MNIST,FantopeOGD,10,50,0,66,0.425277,46.680335,1,0.019
MNIST,FantopeOGD,10,50,0,67,0.322781,47.003117,1,0.019
MNIST,FantopeOGD,10,50,0,68,0.476883,47.480000,1,0.020
MNIST,FantopeOGD,10,50,0,69,0.330725,47.810725,1,0.020
MNIST,FantopeOGD,10,50,0,70,0.418888,48.229613,1,0.020
