dataset,algorithm,k,d,trial,step,instantaneous_loss,cumulative_loss,n_leaves,elapsed_s
MNIST,FantopeOGD,10,50,0,71,0.314399,48.544012,1,0.020
MNIST,FantopeOGD,10,50,0,72,0.366218,48.910230,1,0.021
MNIST,FantopeOGD,10,50,0,73,0.275235,49.185465,1,0.021
MNIST,FantopeOGD,10,50,0,74,0.548331,49.733796,1,0.021
MNIST,FantopeOGD,10,50,0,75,0.408328,50.142124,1,0.022
MNIST,FantopeOGD,10,50,0,76,0.394070,50.536194,1,0.022
MNIST,FantopeOGD,10,50,0,77,0.322337,50.858531,1,0.022
MNIST,FantopeOGD,10,50,0,78,0.421303,51.279834,1,0.023
MNIST,FantopeOGD,10,50,0,79,0.413231,51.693065,1,0.023
MNIST,FantopeOGD,10,50,0,80,0.315269,52.008333,1,0.023
MNIST,FantopeOGD,10,50,0,81,0.589569,52.597903,1,0.024
MNIST,FantopeOGD,10,50,0,82,0.349627,52.947530,1,0.024
MNIST,FantopeOGD,10,50,0,83,0.361392,53.308922,1,0.025
MNIST,FantopeOGD,10,50,0,84,0.407897,53.716819,1,0.025
MNIST,FantopeOGD,10,50,0,85,0.374299,54.091118,1,0.025
MNIST,FantopeOGD,10,50,0,86,0.292686,54.383804,1,0.026
MNIST,FantopeOGD,10,50,0,87,0.327648,54.711452,1,0.026
MNIST,FantopeOGD,10,50,0,88,0.370436,55.081888,1,0.026
MNIST,FantopeOGD,10,50,0,89,0.335917,55.417805,1,0.027
MNIST,FantopeOGD,10,50,0,90,0.366771,55.784576,1,0.027
MNIST,FantopeOGD,10,50,0,91,0.318583,56.103159,1,0.027
MNIST,FantopeOGD,10,50,0,92,0.310623,56.413782,1,0.028
MNIST,FantopeOGD,10,50,0,93,0.372679,56.786461,1,0.028
MNIST,FantopeOGD,10,50,0,94,0.390503,57.176964,1,0.028
MNIST,FantopeOGD,10,50,0,95,0.453709,57.630672,1,0.029
MNIST,FantopeOGD,10,50,0,96,0.362104,57.992776,1,0.029
MNIST,FantopeOGD,10,50,0,97,0.468092,58.460868,1,0.029
MNIST,FantopeOGD,10,50,0,98,0.331701,58.792569,1,0.030
MNIST,FantopeOGD,10,50,0,99,0.364293,59.156862,1,0.030
MNIST,FantopeOGD,10,50,0,100,0.260280,59.417142,1,0.030
MNIST,FantopeOGD,10,50,0,101,0.312184,59.729326,1,0.031
MNIST,FantopeOGD,10,50,0,102,0.240706,59.970032,1,0.031
MNIST,FantopeOGD,10,50,0,103,0.297266,60.267298,1,0.031
MNIST,FantopeOGD,10,50,0,104,0.298970,60.566269,1,0.032
MNIST,FantopeOGD,10,50,0,105,0.405974,60.972242,1,0.032
MNIST,FantopeOGD,10,50,0,106,0.319510,61.291753,1,0.032
MNIST,FantopeOGD,10,50,0,107,0.420206,61.711958,1,0.033
MNIST,FantopeOGD,10,50,0,108,0.284534,61.996493,1,0.033
MNIST,FantopeOGD,10,50,0,109,0.437779,62.434272,1,0.033
MNIST,FantopeOGD,10,50,0,110,0.309472,62.743745,1,0.034
MNIST,FantopeOGD,10,50,0,111,0.246443,62.990187,1,0.034
MNIST,FantopeOGD,10,50,0,112,0.373911,63.364098,1,0.034
MNIST,FantopeOGD,10,50,0,113,0.360141,63.724240,1,0.034
MNIST,FantopeOGD,10,50,0,114,0.439911,64.164151,1,0.035
MNIST,FantopeOGD,10,50,0,115,0.383899,64.548050,1,0.035
MNIST,FantopeOGD,10,50,0,116,0.353249,64.901299,1,0.035
MNIST,FantopeOGD,10,50,0,117,0.258702,65.160001,1,0.036
MNIST,FantopeOGD,10,50,0,118,0.483972,65.643973,1,0.036
MNIST,FantopeOGD,10,50,0,119,0.463318,66.107291,1,0.036
MNIST,FantopeOGD,10,50,0,120,0.363031,66.470323,1,0.037
MNIST,FantopeOGD,10,50,0,121,0.358639,66.828961,1,0.037
MNIST,FantopeOGD,10,50,0,122,0.376673,67.205634,1,0.037
MNIST,FantopeOGD,10,50,0,123,0.228625,67.434259,1,0.038
MNIST,FantopeOGD,10,50,0,124,0.394030,67.828289,1,0.038
MNIST,FantopeOGD,10,50,0,125,0.277361,68.105650,1,0.038
MNIST,FantopeOGD,10,50,0,126,0.298372,68.404022,1,0.039
MNIST,FantopeOGD,10,50,0,127,0.290016,68.694038,1,0.039
MNIST,FantopeOGD,10,50,0,128,0.261124,68.955162,1,0.039
MNIST,FantopeOGD,10,50,0,129,0.264419,69.219581,1,0.040
MNIST,FantopeOGD,10,50,0,130,0.489292,69.708873,1,0.040
MNIST,FantopeOGD,10,50,0,131,0.319947,70.028820,1,0.040
MNIST,FantopeOGD,10,50,0,132,0.415311,70.444130,1,0.041
MNIST,FantopeOGD,10,50,0,133,0.347211,70.791341,1,0.041
MNIST,FantopeOGD,10,50,0,134,0.281363,71.072704,1,0.041
MNIST,FantopeOGD,10,50,0,135,0.427668,71.500372,1,0.042
MNIST,FantopeOGD,10,50,0,136,0.310975,71.811347,1,0.042
MNIST,FantopeOGD,10,50,0,137,0.283173,72.094520,1,0.042
MNIST,FantopeOGD,10,50,0,138,0.241349,72.335869,1,0.042
MNIST,FantopeOGD,10,50,0,139,0.427609,72.763479,1,0.043
MNIST,FantopeOGD,10,50,0,140,0.296048,73.059526,1,0.043
MNIST,FantopeOGD,10,50,0,141,0.333907,73.393433,1,0.043
MNIST,FantopeOGD,10,50,0,142,0.333833,73.727266,1,0.044
MNIST,FantopeOGD,10,50,0,143,0.506563,74.233829,1,0.044
MNIST,FantopeOGD,10,50,0,144,0.377897,74.611726,1,0.044
MNIST,FantopeOGD,10,50,0,145,0.300796,74.912522,1,0.045
MNIST,FantopeOGD,10,50,0,146,0.406644,75.319166,1,0.045
MNIST,FantopeOGD,10,50,0,147,0.268650,75.587817,1,0.045
MNIST,FantopeOGD,10,50,0,148,0.255716,75.843533,1,0.046
MNIST,FantopeOGD,10,50,0,149,0.384934,76.228467,1,0.046
MNIST,FantopeOGD,10,50,0,150,0.259101,76.487567,1,0.046
MNIST,FantopeOGD,10,50,0,151,0.262564,76.750132,1,0.047
MNIST,FantopeOGD,10,50,0,152,0.356870,77.107001,1,0.047
MNIST,FantopeOGD,10,50,0,153,0.451405,77.558407,1,0.047
MNIST,FantopeOGD,10,50,0,154,0.304993,77.863400,1,0.048
MNIST,FantopeOGD,10,50,0,155,0.290302,78.153701,1,0.048
MNIST,FantopeOGD,10,50,0,156,0.203454,78.357155,1,0.048
MNIST,FantopeOGD,10,50,0,157,0.248154,78.605309,1,0.048
MNIST,FantopeOGD,10,50,0,158,0.427773,79.033081,1,0.049
MNIST,FantopeOGD,10,50,0,159,0.351644,79.384726,1,0.049
MNIST,FantopeOGD,10,50,0,160,0.290498,79.675224,1,0.049
MNIST,FantopeOGD,10,50,0,161,0.260665,79.935889,1,0.050
MNIST,FantopeOGD,10,50,0,162,0.312605,80.248495,1,0.050
MNIST,FantopeOGD,10,50,0,163,0.212267,80.460761,1,0.050
MNIST,FantopeOGD,10,50,0,164,0.368852,80.829614,1,0.051
MNIST,FantopeOGD,10,50,0,165,0.237824,81.067437,1,0.051
MNIST,FantopeOGD,10,50,0,166,0.416772,81.484210,1,0.051
MNIST,FantopeOGD,10,50,0,167,0.224805,81.709014,1,0.051
MNIST,FantopeOGD,10,50,0,168,0.268744,81.977759,1,0.052
MNIST,FantopeOGD,10,50,0,169,0.289927,82.267685,1,0.052
MNIST,FantopeOGD,10,50,0,170,0.289519,82.557204,1,0.052
MNIST,FantopeOGD,10,50,0,171,0.288825,82.846030,1,0.053
MNIST,FantopeOGD,10,50,0,172,0.306864,83.152894,1,0.053
MNIST,FantopeOGD,10,50,0,173,0.368340,83.521234,1,0.053
MNIST,FantopeOGD,10,50,0,174,0.248219,83.769453,1,0.054
MNIST,FantopeOGD,10,50,0,175,0.240343,84.009797,1,0.054
MNIST,FantopeOGD,10,50,0,176,0.267948,84.277745,1,0.054
MNIST,FantopeOGD,10,50,0,177,0.264246,84.541990,1,0.055
MNIST,FantopeOGD,10,50,0,178,0.306601,84.848591,1,0.055
MNIST,FantopeOGD,10,50,0,179,0.412666,85.261257,1,0.055
MNIST,FantopeOGD,10,50,0,180,0.268885,85.530142,1,0.056
MNIST,FantopeOGD,10,50,0,181,0.204672,85.734814,1,0.056
MNIST,FantopeOGD,10,50,0,182,0.307388,86.042202,1,0.056
MNIST,FantopeOGD,10,50,0,183,0.331442,86.373644,1,0.057
MNIST,FantopeOGD,10,50,0,184,0.355788,86.729432,1,0.057
MNIST,FantopeOGD,10,50,0,185,0.213005,86.942437,1,0.057
MNIST,FantopeOGD,10,50,0,186,0.302083,87.244520,1,0.057
MNIST,FantopeOGD,10,50,0,187,0.432862,87.677381,1,0.058
MNIST,FantopeOGD,10,50,0,188,0.309797,87.987179,1,0.058
MNIST,FantopeOGD,10,50,0,189,0.348664,88.335843,1,0.058
MNIST,FantopeOGD,10,50,0,190,0.280685,88.616528,1,0.059
MNIST,FantopeOGD,10,50,0,191,0.269522,88.886050,1,0.059
MNIST,FantopeOGD,10,50,0,192,0.253425,89.139475,1,0.059
MNIST,FantopeOGD,10,50,0,193,0.149687,89.289162,1,0.060
MNIST,FantopeOGD,10,50,0,194,0.314647,89.603809,1,0.060
MNIST,FantopeOGD,10,50,0,195,0.435637,90.039446,1,0.060
MNIST,FantopeOGD,10,50,0,196,0.350604,90.390050,1,0.061
MNIST,FantopeOGD,10,50,0,197,0.506072,90.896122,1,0.061
MNIST,FantopeOGD,10,50,0,198,0.354398,91.250520,1,0.061
MNIST,FantopeOGD,10,50,0,199,0.401287,91.651807,1,0.061
MNIST,FantopeOGD,10,50,0,200,0.432446,92.084253,1,0.062
MNIST,FantopeOGD,10,50,0,201,0.251636,92.335889,1,0.062
MNIST,FantopeOGD,10,50,0,202,0.353286,92.689176,1,0.063
MNIST,FantopeOGD,10,50,0,203,0.295997,92.985173,1,0.063
MNIST,FantopeOGD,10,50,0,204,0.437412,93.422585,1,0.063
MNIST,FantopeOGD,10,50,0,205,0.275640,93.698225,1,0.063
MNIST,FantopeOGD,10,50,0,206,0.416665,94.114889,1,0.064
MNIST,FantopeOGD,10,50,0,207,0.380015,94.494904,1,0.064
MNIST,FantopeOGD,10,50,0,208,0.236499,94.731403,1,0.064
MNIST,FantopeOGD,10,50,0,209,0.373494,95.104897,1,0.065
MNIST,FantopeOGD,10,50,0,210,0.289544,95.394440,1,0.065
MNIST,FantopeOGD,10,50,0,211,0.397794,95.792234,1,0.065
MNIST,FantopeOGD,10,50,0,212,0.231285,96.023519,1,0.066
MNIST,FantopeOGD,10,50,0,213,0.343324,96.366842,1,0.066
MNIST,FantopeOGD,10,50,0,214,0.201983,96.568826,1,0.066
MNIST,FantopeOGD,10,50,0,215,0.189009,96.757834,1,0.067
MNIST,FantopeOGD,10,50,0,216,0.199256,96.957090,1,0.067
MNIST,FantopeOGD,10,50,0,217,0.239247,97.196338,1,0.067
MNIST,FantopeOGD,10,50,0,218,0.365231,97.561569,1,0.068
MNIST,FantopeOGD,10,50,0,219,0.345786,97.907355,1,0.068
MNIST,FantopeOGD,10,50,0,220,0.332659,98.240014,1,0.068
MNIST,FantopeOGD,10,50,0,221,0.310848,98.550862,1,0.068
MNIST,FantopeOGD,10,50,0,222,0.318975,98.869837,1,0.069
MNIST,FantopeOGD,10,50,0,223,0.303208,99.173045,1,0.069
MNIST,FantopeOGD,10,50,0,224,0.250677,99.423722,1,0.069
MNIST,FantopeOGD,10,50,0,225,0.333231,99.756953,1,0.070
MNIST,FantopeOGD,10,50,0,226,0.367910,100.124864,1,0.070
MNIST,FantopeOGD,10,50,0,227,0.369107,100.493971,1,0.070
MNIST,FantopeOGD,10,50,0,228,0.347906,100.841877,1,0.071
MNIST,FantopeOGD,10,50,0,229,0.261372,101.103249,1,0.071
MNIST,FantopeOGD,10,50,0,230,0.384056,101.487305,1,0.071
MNIST,FantopeOGD,10,50,0,231,0.346824,101.834129,1,0.072
MNIST,FantopeOGD,10,50,0,232,0.281165,102.115294,1,0.072
MNIST,FantopeOGD,10,50,0,233,0.292071,102.407365,1,0.072
MNIST,FantopeOGD,10,50,0,234,0.240832,102.648197,1,0.072
MNIST,FantopeOGD,10,50,0,235,0.149992,102.798188,1,0.073
MNIST,FantopeOGD,10,50,0,236,0.311281,103.109469,1,0.073
MNIST,FantopeOGD,10,50,0,237,0.398349,103.507818,1,0.073
MNIST,FantopeOGD,10,50,0,238,0.269353,103.777172,1,0.074
MNIST,FantopeOGD,10,50,0,239,0.338144,104.115316,1,0.074
MNIST,FantopeOGD,10,50,0,240,0.299129,104.414444,1,0.074
MNIST,FantopeOGD,10,50,0,241,0.277221,104.691666,1,0.075
MNIST,FantopeOGD,10,50,0,242,0.303069,104.994735,1,0.075
MNIST,FantopeOGD,10,50,0,243,0.189748,105.184482,1,0.075
MNIST,FantopeOGD,10,50,0,244,0.222589,105.407071,1,0.076
MNIST,FantopeOGD,10,50,0,245,0.318377,105.725448,1,0.076
MNIST,FantopeOGD,10,50,0,246,0.424575,106.150023,1,0.076
MNIST,FantopeOGD,10,50,0,247,0.424096,106.574119,1,0.076
MNIST,FantopeOGD,10,50,0,248,0.312942,106.887060,1,0.077
MNIST,FantopeOGD,10,50,0,249,0.393762,107.280822,1,0.077
MNIST,FantopeOGD,10,50,0,250,0.330053,107.610876,1,0.077
MNIST,FantopeOGD,10,50,0,251,0.448913,108.059788,1,0.078
MNIST,FantopeOGD,10,50,0,252,0.234263,108.294052,1,0.078
MNIST,FantopeOGD,10,50,0,253,0.320925,108.614977,1,0.078
MNIST,FantopeOGD,10,50,0,254,0.334684,108.949661,1,0.079
MNIST,FantopeOGD,10,50,0,255,0.254064,109.203725,1,0.079
MNIST,FantopeOGD,10,50,0,256,0.379482,109.583207,1,0.079
MNIST,FantopeOGD,10,50,0,257,0.250667,109.833875,1,0.080
MNIST,FantopeOGD,10,50,0,258,0.369547,110.203422,1,0.080
MNIST,FantopeOGD,10,50,0,259,0.215786,110.419207,1,0.080
MNIST,FantopeOGD,10,50,0,260,0.401483,110.820690,1,0.081
MNIST,FantopeOGD,10,50,0,261,0.394316,111.215006,1,0.081
MNIST,FantopeOGD,10,50,0,262,0.315715,111.530721,1,0.081
MNIST,FantopeOGD,10,50,0,263,0.238622,111.769343,1,0.082
MNIST,FantopeOGD,10,50,0,264,0.279254,112.048597,1,0.082
MNIST,FantopeOGD,10,50,0,265,0.284332,112.332929,1,0.082
MNIST,FantopeOGD,10,50,0,266,0.208736,112.541665,1,0.083
MNIST,FantopeOGD,10,50,0,267,0.325887,112.867552,1,0.083
MNIST,FantopeOGD,10,50,0,268,0.525154,113.392706,1,0.083
MNIST,FantopeOGD,10,50,0,269,0.281361,113.674067,1,0.083
MNIST,FantopeOGD,10,50,0,270,0.222918,113.896985,1,0.084
MNIST,FantopeOGD,10,50,0,271,0.280091,114.177076,1,0.084
MNIST,FantopeOGD,10,50,0,272,0.381159,114.558234,1,0.084
MNIST,FantopeOGD,10,50,0,273,0.277035,114.835269,1,0.085
MNIST,FantopeOGD,10,50,0,274,0.261267,115.096535,1,0.085
MNIST,FantopeOGD,10,50,0,275,0.254263,115.350798,1,0.085
MNIST,FantopeOGD,10,50,0,276,0.327122,115.677920,1,0.086
MNIST,FantopeOGD,10,50,0,277,0.236804,115.914725,1,0.086
MNIST,FantopeOGD,10,50,0,278,0.256063,116.170787,1,0.086
MNIST,FantopeOGD,10,50,0,279,0.221022,116.391810,1,0.087
MNIST,FantopeOGD,10,50,0,280,0.216761,116.608571,1,0.087
MNIST,FantopeOGD,10,50,0,281,0.265252,116.873823,1,0.087
MNIST,FantopeOGD,10,50,0,282,0.349171,117.222993,1,0.087
MNIST,FantopeOGD,10,50,0,283,0.182404,117.405398,1,0.088
MNIST,FantopeOGD,10,50,0,284,0.256844,117.662242,1,0.088
MNIST,FantopeOGD,10,50,0,285,0.303942,117.966184,1,0.088
MNIST,FantopeOGD,10,50,0,286,0.275352,118.241536,1,0.089
MNIST,FantopeOGD,10,50,0,287,0.249693,118.491228,1,0.089
MNIST,FantopeOGD,10,50,0,288,0.367257,118.858486,1,0.089
MNIST,FantopeOGD,10,50,0,289,0.302014,119.160500,1,0.090
MNIST,FantopeOGD,10,50,0,290,0.381073,119.541573,1,0.090
MNIST,FantopeOGD,10,50,0,291,0.393655,119.935228,1,0.090
MNIST,FantopeOGD,10,50,0,292,0.438432,120.373660,1,0.091
MNIST,FantopeOGD,10,50,0,293,0.296930,120.670590,1,0.091
MNIST,FantopeOGD,10,50,0,294,0.367814,121.038404,1,0.091
MNIST,FantopeOGD,10,50,0,295,0.256884,121.295288,1,0.091
MNIST,FantopeOGD,10,50,0,296,0.227483,121.522771,1,0.092
MNIST,FantopeOGD,10,50,0,297,0.380687,121.903459,1,0.092
MNIST,FantopeOGD,10,50,0,298,0.281262,122.184720,1,0.092
MNIST,FantopeOGD,10,50,0,299,0.261971,122.446691,1,0.093
MNIST,FantopeOGD,10,50,0,300,0.293791,122.740482,1,0.093
MNIST,FantopeOGD,10,50,0,301,0.209804,122.950286,1,0.093
MNIST,FantopeOGD,10,50,0,302,0.351330,123.301616,1,0.094
MNIST,FantopeOGD,10,50,0,303,0.186354,123.487970,1,0.094
MNIST,FantopeOGD,10,50,0,304,0.317142,123.805112,1,0.094
MNIST,FantopeOGD,10,50,0,305,0.312948,124.118060,1,0.095
MNIST,FantopeOGD,10,50,0,306,0.320643,124.438703,1,0.095
MNIST,FantopeOGD,10,50,0,307,0.226569,124.665272,1,0.095
MNIST,FantopeOGD,10,50,0,308,0.225780,124.891053,1,0.096
MNIST,FantopeOGD,10,50,0,309,0.254966,125.146019,1,0.096
MNIST,FantopeOGD,10,50,0,310,0.266432,125.412450,1,0.096
MNIST,FantopeOGD,10,50,0,311,0.286118,125.698569,1,0.097
MNIST,FantopeOGD,10,50,0,312,0.187430,125.885999,1,0.097
MNIST,FantopeOGD,10,50,0,313,0.382974,126.268973,1,0.097
MNIST,FantopeOGD,10,50,0,314,0.421139,126.690111,1,0.097
MNIST,FantopeOGD,10,50,0,315,0.180226,126.870337,1,0.098
MNIST,FantopeOGD,10,50,0,316,0.286676,127.157013,1,0.098
MNIST,FantopeOGD,10,50,0,317,0.260515,127.417528,1,0.098
MNIST,FantopeOGD,10,50,0,318,0.322480,127.740009,1,0.099
MNIST,FantopeOGD,10,50,0,319,0.213274,127.953283,1,0.099
MNIST,FantopeOGD,10,50,0,320,0.416940,128.370223,1,0.099
MNIST,FantopeOGD,10,50,0,321,0.266048,128.636271,1,0.100
MNIST,FantopeOGD,10,50,0,322,0.383696,129.019967,1,0.100
MNIST,FantopeOGD,10,50,0,323,0.318957,129.338923,1,0.100
MNIST,FantopeOGD,10,50,0,324,0.340221,129.679144,1,0.101
MNIST,FantopeOGD,10,50,0,325,0.204214,129.883358,1,0.101
MNIST,FantopeOGD,10,50,0,326,0.201621,130.084979,1,0.101
MNIST,FantopeOGD,10,50,0,327,0.276908,130.361888,1,0.102
MNIST,FantopeOGD,10,50,0,328,0.285016,130.646904,1,0.102
MNIST,FantopeOGD,10,50,0,329,0.186882,130.833786,1,0.102
MNIST,FantopeOGD,10,50,0,330,0.361215,131.195001,1,0.103
MNIST,FantopeOGD,10,50,0,331,0.491015,131.686016,1,0.103
MNIST,FantopeOGD,10,50,0,332,0.250367,131.936383,1,0.103
MNIST,FantopeOGD,10,50,0,333,0.291858,132.228242,1,0.103
MNIST,FantopeOGD,10,50,0,334,0.298278,132.526519,1,0.104
MNIST,FantopeOGD,10,50,0,335,0.236172,132.762692,1,0.104
MNIST,FantopeOGD,10,50,0,336,0.276454,133.039146,1,0.104
MNIST,FantopeOGD,10,50,0,337,0.301446,133.340592,1,0.105
MNIST,FantopeOGD,10,50,0,338,0.314000,133.654593,1,0.105
MNIST,FantopeOGD,10,50,0,339,0.394126,134.048719,1,0.105
MNIST,FantopeOGD,10,50,0,340,0.293402,134.342121,1,0.106
MNIST,FantopeOGD,10,50,0,341,0.281657,134.623778,1,0.106
MNIST,FantopeOGD,10,50,0,342,0.289208,134.912987,1,0.106
MNIST,FantopeOGD,10,50,0,343,0.214207,135.127194,1,0.107
MNIST,FantopeOGD,10,50,0,344,0.256056,135.383250,1,0.107
MNIST,FantopeOGD,10,50,0,345,0.384671,135.767921,1,0.107
MNIST,FantopeOGD,10,50,0,346,0.253566,136.021487,1,0.108
MNIST,FantopeOGD,10,50,0,347,0.255996,136.277483,1,0.108
MNIST,FantopeOGD,10,50,0,348,0.331765,136.609248,1,0.108
MNIST,FantopeOGD,10,50,0,349,0.272946,136.882194,1,0.108
MNIST,FantopeOGD,10,50,0,350,0.254506,137.136700,1,0.109
MNIST,FantopeOGD,10,50,0,351,0.352364,137.489064,1,0.109
MNIST,FantopeOGD,10,50,0,352,0.358200,137.847264,1,0.109
MNIST,FantopeOGD,10,50,0,353,0.314637,138.161901,1,0.110
MNIST,FantopeOGD,10,50,0,354,0.228801,138.390702,1,0.110
MNIST,FantopeOGD,10,50,0,355,0.227650,138.618353,1,0.110
MNIST,FantopeOGD,10,50,0,356,0.292270,138.910622,1,0.111
MNIST,FantopeOGD,10,50,0,357,0.262630,139.173252,1,0.111
MNIST,FantopeOGD,10,50,0,358,0.310315,139.483567,1,0.111
MNIST,FantopeOGD,10,50,0,359,0.319955,139.803522,1,0.112
MNIST,FantopeOGD,10,50,0,360,0.403871,140.207393,1,0.112
MNIST,FantopeOGD,10,50,0,361,0.262081,140.469473,1,0.112
MNIST,FantopeOGD,10,50,0,362,0.238514,140.707987,1,0.113
MNIST,FantopeOGD,10,50,0,363,0.296937,141.004924,1,0.113
MNIST,FantopeOGD,10,50,0,364,0.291445,141.296370,1,0.113
MNIST,FantopeOGD,10,50,0,365,0.548333,141.844702,1,0.113
MNIST,FantopeOGD,10,50,0,366,0.351564,142.196266,1,0.114
MNIST,FantopeOGD,10,50,0,367,0.284766,142.481032,1,0.114
MNIST,FantopeOGD,10,50,0,368,0.157474,142.638506,1,0.114
MNIST,FantopeOGD,10,50,0,369,0.256055,142.894561,1,0.115
MNIST,FantopeOGD,10,50,0,370,0.372201,143.266762,1,0.115
MNIST,FantopeOGD,10,50,0,371,0.210473,143.477235,1,0.115
MNIST,FantopeOGD,10,50,0,372,0.321210,143.798446,1,0.116
MNIST,FantopeOGD,10,50,0,373,0.287551,144.085997,1,0.116
MNIST,FantopeOGD,10,50,0,374,0.283698,144.369695,1,0.116
