dataset,algorithm,k,d,step,instantaneous_loss,cumulative_loss,n_leaves,elapsed_s
MNIST,StreamingSVD,20,50,0,0.131254,0.131254,1,0.000
MNIST,StreamingSVD,20,50,1,0.214100,0.345354,1,0.000
MNIST,StreamingSVD,20,50,2,0.505016,0.850369,1,0.001
MNIST,StreamingSVD,20,50,3,0.314225,1.164595,1,0.001
MNIST,StreamingSVD,20,50,4,0.372207,1.536802,1,0.001
MNIST,StreamingSVD,20,50,5,0.235966,1.772768,1,0.001
MNIST,StreamingSVD,20,50,6,0.405338,2.178106,1,0.001
MNIST,StreamingSVD,20,50,7,0.159970,2.338075,1,0.002
MNIST,StreamingSVD,20,50,8,0.083797,2.421872,1,0.002
MNIST,StreamingSVD,20,50,9,0.346363,2.768235,1,0.002
MNIST,StreamingSVD,20,50,10,0.137865,2.906100,1,0.002
MNIST,StreamingSVD,20,50,11,0.234805,3.140905,1,0.002
MNIST,StreamingSVD,20,50,12,0.268910,3.409815,1,0.002
MNIST,StreamingSVD,20,50,13,0.199181,3.608996,1,0.002
MNIST,StreamingSVD,20,50,14,0.126352,3.735348,1,0.003
MNIST,StreamingSVD,20,50,15,0.261132,3.996480,1,0.003
MNIST,StreamingSVD,20,50,16,0.313285,4.309765,1,0.003
MNIST,StreamingSVD,20,50,17,0.193653,4.503419,1,0.003
MNIST,StreamingSVD,20,50,18,0.404766,4.908185,1,0.003
MNIST,StreamingSVD,20,50,19,0.185481,5.093666,1,0.003
MNIST,StreamingSVD,20,50,20,0.228252,5.321918,1,0.003
MNIST,StreamingSVD,20,50,21,0.085910,5.407828,1,0.004
MNIST,StreamingSVD,20,50,22,0.148346,5.556174,1,0.004
MNIST,StreamingSVD,20,50,23,0.010937,5.567111,1,0.004
MNIST,StreamingSVD,20,50,24,0.307464,5.874575,1,0.004
MNIST,StreamingSVD,20,50,25,0.226078,6.100653,1,0.004
MNIST,StreamingSVD,20,50,26,0.285978,6.386631,1,0.005
MNIST,StreamingSVD,20,50,27,0.067281,6.453912,1,0.005
MNIST,StreamingSVD,20,50,28,0.312142,6.766054,1,0.005
MNIST,StreamingSVD,20,50,29,0.283154,7.049208,1,0.005
MNIST,StreamingSVD,20,50,30,0.339746,7.388954,1,0.005
MNIST,StreamingSVD,20,50,31,0.182269,7.571223,1,0.005
MNIST,StreamingSVD,20,50,32,0.270808,7.842031,1,0.006
MNIST,StreamingSVD,20,50,33,0.117680,7.959711,1,0.006
MNIST,StreamingSVD,20,50,34,0.270765,8.230476,1,0.006
MNIST,StreamingSVD,20,50,35,0.280654,8.511130,1,0.006
MNIST,StreamingSVD,20,50,36,0.163347,8.674477,1,0.006
MNIST,StreamingSVD,20,50,37,0.085489,8.759966,1,0.007
MNIST,StreamingSVD,20,50,38,0.363341,9.123307,1,0.007
MNIST,StreamingSVD,20,50,39,0.071600,9.194907,1,0.007
MNIST,StreamingSVD,20,50,40,0.243560,9.438467,1,0.007
MNIST,StreamingSVD,20,50,41,0.168091,9.606558,1,0.007
MNIST,StreamingSVD,20,50,42,0.148139,9.754697,1,0.008
MNIST,StreamingSVD,20,50,43,0.156054,9.910751,1,0.008
MNIST,StreamingSVD,20,50,44,0.351467,10.262218,1,0.008
MNIST,StreamingSVD,20,50,45,0.167378,10.429595,1,0.008
MNIST,StreamingSVD,20,50,46,0.267349,10.696944,1,0.008
MNIST,StreamingSVD,20,50,47,0.331988,11.028932,1,0.008
MNIST,StreamingSVD,20,50,48,0.292724,11.321656,1,0.008
MNIST,StreamingSVD,20,50,49,0.101869,11.423525,1,0.009
MNIST,StreamingSVD,20,50,50,0.229552,11.653078,1,0.009
MNIST,StreamingSVD,20,50,51,0.164492,11.817570,1,0.009
MNIST,StreamingSVD,20,50,52,0.199110,12.016680,1,0.010
MNIST,StreamingSVD,20,50,53,0.191649,12.208329,1,0.010
MNIST,StreamingSVD,20,50,54,0.258405,12.466734,1,0.010
MNIST,StreamingSVD,20,50,55,0.154201,12.620936,1,0.011
MNIST,StreamingSVD,20,50,56,0.252783,12.873719,1,0.011
MNIST,StreamingSVD,20,50,57,0.121125,12.994844,1,0.011
MNIST,StreamingSVD,20,50,58,0.158774,13.153619,1,0.011
MNIST,StreamingSVD,20,50,59,0.095967,13.249586,1,0.012
MNIST,StreamingSVD,20,50,60,0.379031,13.628617,1,0.012
MNIST,StreamingSVD,20,50,61,0.151694,13.780311,1,0.012
MNIST,StreamingSVD,20,50,62,0.090624,13.870934,1,0.012
MNIST,StreamingSVD,20,50,63,0.206929,14.077864,1,0.013
MNIST,StreamingSVD,20,50,64,0.264464,14.342328,1,0.013
MNIST,StreamingSVD,20,50,65,0.206020,14.548348,1,0.013
MNIST,StreamingSVD,20,50,66,0.142297,14.690644,1,0.013
MNIST,StreamingSVD,20,50,67,0.117608,14.808252,1,0.014
MNIST,StreamingSVD,20,50,68,0.366501,15.174753,1,0.014
MNIST,StreamingSVD,20,50,69,0.090811,15.265564,1,0.014
MNIST,StreamingSVD,20,50,70,0.192152,15.457716,1,0.014
MNIST,StreamingSVD,20,50,71,0.095281,15.552997,1,0.014
MNIST,StreamingSVD,20,50,72,0.060122,15.613119,1,0.014
MNIST,StreamingSVD,20,50,73,0.110062,15.723180,1,0.015
MNIST,StreamingSVD,20,50,74,0.108949,15.832129,1,0.015
MNIST,StreamingSVD,20,50,75,0.082844,15.914973,1,0.015
MNIST,StreamingSVD,20,50,76,0.201966,16.116939,1,0.015
MNIST,StreamingSVD,20,50,77,0.077157,16.194096,1,0.015
MNIST,StreamingSVD,20,50,78,0.091645,16.285741,1,0.015
MNIST,StreamingSVD,20,50,79,0.057550,16.343291,1,0.015
MNIST,StreamingSVD,20,50,80,0.271606,16.614897,1,0.016
MNIST,StreamingSVD,20,50,81,0.055742,16.670639,1,0.016
MNIST,StreamingSVD,20,50,82,0.142559,16.813198,1,0.016
MNIST,StreamingSVD,20,50,83,0.134798,16.947997,1,0.016
MNIST,StreamingSVD,20,50,84,0.149318,17.097314,1,0.017
MNIST,StreamingSVD,20,50,85,0.184763,17.282077,1,0.017
MNIST,StreamingSVD,20,50,86,0.372471,17.654548,1,0.017
MNIST,StreamingSVD,20,50,87,0.112180,17.766728,1,0.017
MNIST,StreamingSVD,20,50,88,0.204631,17.971360,1,0.018
MNIST,StreamingSVD,20,50,89,0.219459,18.190818,1,0.018
MNIST,StreamingSVD,20,50,90,0.088949,18.279768,1,0.018
MNIST,StreamingSVD,20,50,91,0.188164,18.467932,1,0.018
MNIST,StreamingSVD,20,50,92,0.207542,18.675474,1,0.018
MNIST,StreamingSVD,20,50,93,0.063330,18.738804,1,0.018
MNIST,StreamingSVD,20,50,94,0.194560,18.933364,1,0.018
MNIST,StreamingSVD,20,50,95,0.041734,18.975098,1,0.019
MNIST,StreamingSVD,20,50,96,0.107433,19.082532,1,0.019
MNIST,StreamingSVD,20,50,97,0.070499,19.153031,1,0.019
MNIST,StreamingSVD,20,50,98,0.129142,19.282172,1,0.019
MNIST,StreamingSVD,20,50,99,0.126716,19.408888,1,0.019
MNIST,StreamingSVD,20,50,100,0.401822,19.810710,1,0.020
MNIST,StreamingSVD,20,50,101,0.161022,19.971733,1,0.020
MNIST,StreamingSVD,20,50,102,0.054958,20.026690,1,0.020
MNIST,StreamingSVD,20,50,103,0.083516,20.110206,1,0.020
MNIST,StreamingSVD,20,50,104,0.214478,20.324684,1,0.021
MNIST,StreamingSVD,20,50,105,0.086629,20.411313,1,0.021
MNIST,StreamingSVD,20,50,106,0.110818,20.522130,1,0.021
MNIST,StreamingSVD,20,50,107,0.133546,20.655677,1,0.021
MNIST,StreamingSVD,20,50,108,0.252229,20.907906,1,0.021
MNIST,StreamingSVD,20,50,109,0.356575,21.264481,1,0.022
MNIST,StreamingSVD,20,50,110,0.236790,21.501270,1,0.022
MNIST,StreamingSVD,20,50,111,0.104054,21.605324,1,0.022
MNIST,StreamingSVD,20,50,112,0.123937,21.729261,1,0.022
MNIST,StreamingSVD,20,50,113,0.087446,21.816707,1,0.022
MNIST,StreamingSVD,20,50,114,0.213464,22.030171,1,0.023
MNIST,StreamingSVD,20,50,115,0.122878,22.153049,1,0.023
MNIST,StreamingSVD,20,50,116,0.114536,22.267585,1,0.023
MNIST,StreamingSVD,20,50,117,0.189561,22.457146,1,0.023
MNIST,StreamingSVD,20,50,118,0.182203,22.639349,1,0.023
MNIST,StreamingSVD,20,50,119,0.078946,22.718295,1,0.023
MNIST,StreamingSVD,20,50,120,0.128579,22.846874,1,0.023
MNIST,StreamingSVD,20,50,121,0.145042,22.991916,1,0.024
MNIST,StreamingSVD,20,50,122,0.264165,23.256081,1,0.024
MNIST,StreamingSVD,20,50,123,0.146545,23.402626,1,0.024
MNIST,StreamingSVD,20,50,124,0.089923,23.492550,1,0.024
MNIST,StreamingSVD,20,50,125,0.084089,23.576638,1,0.024
MNIST,StreamingSVD,20,50,126,0.201663,23.778301,1,0.024
MNIST,StreamingSVD,20,50,127,0.179033,23.957334,1,0.025
MNIST,StreamingSVD,20,50,128,0.079461,24.036794,1,0.025
MNIST,StreamingSVD,20,50,129,0.057843,24.094637,1,0.025
MNIST,StreamingSVD,20,50,130,0.182574,24.277212,1,0.025
MNIST,StreamingSVD,20,50,131,0.098460,24.375671,1,0.025
MNIST,StreamingSVD,20,50,132,0.094312,24.469983,1,0.026
MNIST,StreamingSVD,20,50,133,0.098340,24.568323,1,0.026
MNIST,StreamingSVD,20,50,134,0.328992,24.897315,1,0.026
MNIST,StreamingSVD,20,50,135,0.127474,25.024789,1,0.026
MNIST,StreamingSVD,20,50,136,0.142254,25.167043,1,0.026
MNIST,StreamingSVD,20,50,137,0.058477,25.225520,1,0.026
MNIST,StreamingSVD,20,50,138,0.246503,25.472023,1,0.027
MNIST,StreamingSVD,20,50,139,0.206386,25.678409,1,0.027
MNIST,StreamingSVD,20,50,140,0.250046,25.928454,1,0.027
MNIST,StreamingSVD,20,50,141,0.090585,26.019039,1,0.027
MNIST,StreamingSVD,20,50,142,0.263096,26.282135,1,0.027
MNIST,StreamingSVD,20,50,143,0.232426,26.514561,1,0.027
MNIST,StreamingSVD,20,50,144,0.294149,26.808710,1,0.028
MNIST,StreamingSVD,20,50,145,0.145529,26.954238,1,0.028
MNIST,StreamingSVD,20,50,146,0.185973,27.140211,1,0.028
MNIST,StreamingSVD,20,50,147,0.067237,27.207448,1,0.028
MNIST,StreamingSVD,20,50,148,0.207282,27.414730,1,0.028
MNIST,StreamingSVD,20,50,149,0.116954,27.531684,1,0.028
MNIST,StreamingSVD,20,50,150,0.111444,27.643128,1,0.029
MNIST,StreamingSVD,20,50,151,0.082164,27.725292,1,0.029
MNIST,StreamingSVD,20,50,152,0.063965,27.789257,1,0.029
MNIST,StreamingSVD,20,50,153,0.112118,27.901375,1,0.029
MNIST,StreamingSVD,20,50,154,0.228023,28.129397,1,0.030
MNIST,StreamingSVD,20,50,155,0.071553,28.200950,1,0.030
MNIST,StreamingSVD,20,50,156,0.269584,28.470534,1,0.030
MNIST,StreamingSVD,20,50,157,0.089651,28.560185,1,0.030
MNIST,StreamingSVD,20,50,158,0.336963,28.897148,1,0.031
MNIST,StreamingSVD,20,50,159,0.142924,29.040072,1,0.031
MNIST,StreamingSVD,20,50,160,0.247513,29.287585,1,0.031
MNIST,StreamingSVD,20,50,161,0.137591,29.425175,1,0.031
MNIST,StreamingSVD,20,50,162,0.209689,29.634865,1,0.031
MNIST,StreamingSVD,20,50,163,0.097669,29.732534,1,0.031
MNIST,StreamingSVD,20,50,164,0.102613,29.835147,1,0.032
MNIST,StreamingSVD,20,50,165,0.037372,29.872519,1,0.032
MNIST,StreamingSVD,20,50,166,0.128082,30.000602,1,0.032
MNIST,StreamingSVD,20,50,167,0.114591,30.115193,1,0.032
MNIST,StreamingSVD,20,50,168,0.077291,30.192484,1,0.032
MNIST,StreamingSVD,20,50,169,0.044077,30.236560,1,0.032
MNIST,StreamingSVD,20,50,170,0.106424,30.342984,1,0.033
MNIST,StreamingSVD,20,50,171,0.091840,30.434824,1,0.033
MNIST,StreamingSVD,20,50,172,0.088912,30.523736,1,0.033
MNIST,StreamingSVD,20,50,173,0.193233,30.716969,1,0.033
MNIST,StreamingSVD,20,50,174,0.097097,30.814067,1,0.033
MNIST,StreamingSVD,20,50,175,0.166366,30.980433,1,0.033
