dataset,algorithm,k,d,step,instantaneous_loss,cumulative_loss,n_leaves,elapsed_s
CreditCard,GrassmannHRD,15,28,0,0.042901,0.042901,1,0.000
CreditCard,GrassmannHRD,15,28,1,0.176722,0.219623,1,0.001
CreditCard,GrassmannHRD,15,28,2,0.429949,0.649572,1,0.001
CreditCard,GrassmannHRD,15,28,3,0.490518,1.140090,1,0.002
CreditCard,GrassmannHRD,15,28,4,0.145425,1.285515,1,0.002
CreditCard,GrassmannHRD,15,28,5,0.156806,1.442321,1,0.003
CreditCard,GrassmannHRD,15,28,6,0.251541,1.693862,1,0.003
CreditCard,GrassmannHRD,15,28,7,0.258864,1.952726,1,0.003
CreditCard,GrassmannHRD,15,28,8,0.084256,2.036983,1,0.004
CreditCard,GrassmannHRD,15,28,9,0.222202,2.259185,8,0.033
CreditCard,GrassmannHRD,15,28,10,0.190537,2.449722,8,0.033
CreditCard,GrassmannHRD,15,28,11,0.185908,2.635630,8,0.034
CreditCard,GrassmannHRD,15,28,12,0.181161,2.816791,8,0.034
CreditCard,GrassmannHRD,15,28,13,0.227244,3.044035,8,0.036
CreditCard,GrassmannHRD,15,28,14,0.333077,3.377112,8,0.036
CreditCard,GrassmannHRD,15,28,15,0.317786,3.694898,8,0.037
CreditCard,GrassmannHRD,15,28,16,0.180124,3.875022,8,0.038
CreditCard,GrassmannHRD,15,28,17,0.331726,4.206748,8,0.038
CreditCard,GrassmannHRD,15,28,18,0.131629,4.338378,8,0.039
CreditCard,GrassmannHRD,15,28,19,0.128766,4.467144,8,0.040
CreditCard,GrassmannHRD,15,28,20,0.350289,4.817433,8,0.040
CreditCard,GrassmannHRD,15,28,21,0.403216,5.220649,8,0.041
CreditCard,GrassmannHRD,15,28,22,0.163200,5.383849,8,0.041
CreditCard,GrassmannHRD,15,28,23,0.375827,5.759676,8,0.042
CreditCard,GrassmannHRD,15,28,24,0.313543,6.073219,8,0.043
CreditCard,GrassmannHRD,15,28,25,0.203612,6.276830,8,0.044
CreditCard,GrassmannHRD,15,28,26,0.221848,6.498679,8,0.044
CreditCard,GrassmannHRD,15,28,27,0.499134,6.997812,8,0.045
CreditCard,GrassmannHRD,15,28,28,0.332404,7.330216,8,0.046
CreditCard,GrassmannHRD,15,28,29,0.096472,7.426688,8,0.046
CreditCard,GrassmannHRD,15,28,30,0.248154,7.674842,8,0.047
CreditCard,GrassmannHRD,15,28,31,0.191541,7.866383,8,0.048
CreditCard,GrassmannHRD,15,28,32,0.221359,8.087743,8,0.049
CreditCard,GrassmannHRD,15,28,33,0.220125,8.307868,8,0.049
CreditCard,GrassmannHRD,15,28,34,0.219164,8.527032,8,0.050
CreditCard,GrassmannHRD,15,28,35,0.217973,8.745005,8,0.051
CreditCard,GrassmannHRD,15,28,36,0.194395,8.939400,8,0.052
CreditCard,GrassmannHRD,15,28,37,0.232265,9.171665,8,0.052
CreditCard,GrassmannHRD,15,28,38,0.678805,9.850470,9,0.057
CreditCard,GrassmannHRD,15,28,39,0.218805,10.069274,9,0.057
CreditCard,GrassmannHRD,15,28,40,0.212296,10.281571,9,0.058
CreditCard,GrassmannHRD,15,28,41,0.176531,10.458101,9,0.059
CreditCard,GrassmannHRD,15,28,42,0.262639,10.720740,9,0.059
CreditCard,GrassmannHRD,15,28,43,0.255542,10.976282,9,0.060
CreditCard,GrassmannHRD,15,28,44,0.333109,11.309391,9,0.061
CreditCard,GrassmannHRD,15,28,45,0.421335,11.730725,9,0.062
CreditCard,GrassmannHRD,15,28,46,0.170301,11.901027,10,0.072
CreditCard,GrassmannHRD,15,28,47,0.424898,12.325925,10,0.073
CreditCard,GrassmannHRD,15,28,48,0.362444,12.688368,10,0.074
CreditCard,GrassmannHRD,15,28,49,0.260102,12.948470,10,0.075
CreditCard,GrassmannHRD,15,28,50,0.314067,13.262538,10,0.076
CreditCard,GrassmannHRD,15,28,51,0.099284,13.361822,10,0.077
CreditCard,GrassmannHRD,15,28,52,0.326310,13.688131,10,0.077
CreditCard,GrassmannHRD,15,28,53,0.170455,13.858587,10,0.078
CreditCard,GrassmannHRD,15,28,54,0.381420,14.240007,10,0.079
CreditCard,GrassmannHRD,15,28,55,0.410055,14.650062,10,0.079
CreditCard,GrassmannHRD,15,28,56,0.305050,14.955111,10,0.080
CreditCard,GrassmannHRD,15,28,57,0.110560,15.065671,10,0.081
CreditCard,GrassmannHRD,15,28,58,0.189001,15.254673,10,0.081
CreditCard,GrassmannHRD,15,28,59,0.151087,15.405760,10,0.082
CreditCard,GrassmannHRD,15,28,60,0.523595,15.929355,10,0.083
CreditCard,GrassmannHRD,15,28,61,0.358523,16.287878,10,0.083
CreditCard,GrassmannHRD,15,28,62,0.166841,16.454719,10,0.084
CreditCard,GrassmannHRD,15,28,63,0.159546,16.614265,10,0.085
CreditCard,GrassmannHRD,15,28,64,0.181842,16.796106,10,0.085
CreditCard,GrassmannHRD,15,28,65,0.335086,17.131192,10,0.086
CreditCard,GrassmannHRD,15,28,66,0.199191,17.330383,10,0.086
CreditCard,GrassmannHRD,15,28,67,0.090600,17.420983,10,0.087
CreditCard,GrassmannHRD,15,28,68,0.458587,17.879571,10,0.088
CreditCard,GrassmannHRD,15,28,69,0.467926,18.347497,10,0.089
CreditCard,GrassmannHRD,15,28,70,0.188173,18.535670,10,0.089
CreditCard,GrassmannHRD,15,28,71,0.159097,18.694767,10,0.090
CreditCard,GrassmannHRD,15,28,72,0.393657,19.088424,10,0.091
CreditCard,GrassmannHRD,15,28,73,0.114746,19.203170,10,0.091
CreditCard,GrassmannHRD,15,28,74,0.230399,19.433568,12,0.100
CreditCard,GrassmannHRD,15,28,75,0.192775,19.626343,12,0.100
CreditCard,GrassmannHRD,15,28,76,0.232594,19.858938,12,0.101
CreditCard,GrassmannHRD,15,28,77,0.386400,20.245338,12,0.102
CreditCard,GrassmannHRD,15,28,78,0.215441,20.460779,12,0.103
CreditCard,GrassmannHRD,15,28,79,0.117114,20.577893,12,0.103
CreditCard,GrassmannHRD,15,28,80,0.330203,20.908096,12,0.104
CreditCard,GrassmannHRD,15,28,81,0.171089,21.079186,12,0.105
CreditCard,GrassmannHRD,15,28,82,0.140909,21.220095,12,0.105
CreditCard,GrassmannHRD,15,28,83,0.271611,21.491706,12,0.106
CreditCard,GrassmannHRD,15,28,84,0.403312,21.895018,12,0.107
CreditCard,GrassmannHRD,15,28,85,0.084457,21.979475,12,0.108
CreditCard,GrassmannHRD,15,28,86,0.142509,22.121984,12,0.108
CreditCard,GrassmannHRD,15,28,87,0.204468,22.326452,12,0.109
CreditCard,GrassmannHRD,15,28,88,0.155600,22.482053,13,0.114
CreditCard,GrassmannHRD,15,28,89,0.337445,22.819497,13,0.115
CreditCard,GrassmannHRD,15,28,90,0.210482,23.029980,13,0.116
CreditCard,GrassmannHRD,15,28,91,0.244993,23.274973,13,0.116
CreditCard,GrassmannHRD,15,28,92,0.386456,23.661429,13,0.117
CreditCard,GrassmannHRD,15,28,93,0.179406,23.840835,13,0.118
CreditCard,GrassmannHRD,15,28,94,0.126832,23.967667,13,0.118
CreditCard,GrassmannHRD,15,28,95,0.304531,24.272198,13,0.119
CreditCard,GrassmannHRD,15,28,96,0.573985,24.846183,13,0.120
CreditCard,GrassmannHRD,15,28,97,0.264766,25.110949,14,0.125
CreditCard,GrassmannHRD,15,28,98,0.079867,25.190816,14,0.125
CreditCard,GrassmannHRD,15,28,99,0.339581,25.530397,14,0.126
CreditCard,GrassmannHRD,15,28,100,0.152578,25.682975,14,0.127
CreditCard,GrassmannHRD,15,28,101,0.237791,25.920766,14,0.128
CreditCard,GrassmannHRD,15,28,102,0.236818,26.157584,14,0.129
CreditCard,GrassmannHRD,15,28,103,0.238547,26.396131,14,0.130
CreditCard,GrassmannHRD,15,28,104,0.191297,26.587428,14,0.130
CreditCard,GrassmannHRD,15,28,105,0.172397,26.759825,14,0.131
