dataset,algorithm,k,d,step,instantaneous_loss,cumulative_loss,n_leaves,elapsed_s
CreditCard,FantopeOGD,20,28,0,1.000000,1.000000,1,0.000
CreditCard,FantopeOGD,20,28,1,1.000000,2.000000,1,0.000
CreditCard,FantopeOGD,20,28,2,1.000000,3.000000,1,0.000
CreditCard,FantopeOGD,20,28,3,1.000000,4.000000,1,0.000
CreditCard,FantopeOGD,20,28,4,1.000000,5.000000,1,0.000
CreditCard,FantopeOGD,20,28,5,1.000000,6.000000,1,0.000
CreditCard,FantopeOGD,20,28,6,1.000000,7.000000,1,0.000
CreditCard,FantopeOGD,20,28,7,1.000000,8.000000,1,0.000
CreditCard,FantopeOGD,20,28,8,1.000000,9.000000,1,0.000
CreditCard,FantopeOGD,20,28,9,1.000000,10.000000,1,0.000
CreditCard,FantopeOGD,20,28,10,1.000000,11.000000,1,0.000
CreditCard,FantopeOGD,20,28,11,1.000000,12.000000,1,0.000
CreditCard,FantopeOGD,20,28,12,1.000000,13.000000,1,0.000
CreditCard,FantopeOGD,20,28,13,1.000000,14.000000,1,0.000
CreditCard,FantopeOGD,20,28,14,1.000000,15.000000,1,0.000
CreditCard,FantopeOGD,20,28,15,1.000000,16.000000,1,0.000
CreditCard,FantopeOGD,20,28,16,1.000000,17.000000,1,0.000
CreditCard,FantopeOGD,20,28,17,1.000000,18.000000,1,0.000
CreditCard,FantopeOGD,20,28,18,1.000000,19.000000,1,0.000
CreditCard,FantopeOGD,20,28,19,1.000000,20.000000,1,0.000
CreditCard,FantopeOGD,20,28,20,1.000000,21.000000,1,0.000
CreditCard,FantopeOGD,20,28,21,1.000000,22.000000,1,0.000
CreditCard,FantopeOGD,20,28,22,1.000000,23.000000,1,0.000
CreditCard,FantopeOGD,20,28,23,1.000000,24.000000,1,0.000
CreditCard,FantopeOGD,20,28,24,1.000000,25.000000,1,0.000
CreditCard,FantopeOGD,20,28,25,1.000000,26.000000,1,0.000
CreditCard,FantopeOGD,20,28,26,1.000000,27.000000,1,0.000
CreditCard,FantopeOGD,20,28,27,1.000000,28.000000,1,0.000
CreditCard,FantopeOGD,20,28,28,0.081633,28.081633,1,0.001
CreditCard,FantopeOGD,20,28,29,0.081347,28.162980,1,0.001
CreditCard,FantopeOGD,20,28,30,0.079492,28.242471,1,0.001
CreditCard,FantopeOGD,20,28,31,0.068731,28.311202,1,0.002
CreditCard,FantopeOGD,20,28,32,0.074264,28.385466,1,0.002
CreditCard,FantopeOGD,20,28,33,0.055491,28.440957,1,0.003
CreditCard,FantopeOGD,20,28,34,0.041487,28.482444,1,0.003
CreditCard,FantopeOGD,20,28,35,0.031019,28.513462,1,0.003
CreditCard,FantopeOGD,20,28,36,0.068108,28.581570,1,0.003
CreditCard,FantopeOGD,20,28,37,0.066476,28.648046,1,0.004
CreditCard,FantopeOGD,20,28,38,0.077505,28.725551,1,0.004
CreditCard,FantopeOGD,20,28,39,0.041907,28.767458,1,0.004
CreditCard,FantopeOGD,20,28,40,0.081693,28.849150,1,0.005
CreditCard,FantopeOGD,20,28,41,0.059108,28.908258,1,0.005
CreditCard,FantopeOGD,20,28,42,0.052011,28.960269,1,0.005
CreditCard,FantopeOGD,20,28,43,0.075363,29.035633,1,0.005
CreditCard,FantopeOGD,20,28,44,0.074498,29.110130,1,0.006
CreditCard,FantopeOGD,20,28,45,0.050714,29.160845,1,0.006
